Linux 5.15.0-1054-kvm (large-instance-spare) 	04/17/24 	_x86_64_	(24 CPU)

17:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:57:37     all    0.00    0.00    0.00   12.46    0.00    0.00    0.00    0.00    0.00   87.54
17:57:38     all    0.00    0.00    0.00   12.52    0.00    0.00    0.00    0.00    0.00   87.48
17:57:39     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
17:57:40     all    0.00    0.00    0.04   12.66    0.00    0.00    0.00    0.00    0.00   87.30
17:57:41     all    0.04    0.00    1.58   19.76    0.00    0.00    0.08    0.00    0.00   78.53
17:57:42     all    0.04    0.00    0.97   11.17    0.00    0.00    0.00    0.00    0.00   87.82
17:57:43     all    0.42    0.00    3.87    5.66    0.00    0.00    0.33    0.00    0.00   89.72
17:57:44     all   18.73    0.00    0.38    4.05    0.00    0.00    0.25    0.00    0.00   76.60
17:57:45     all   10.72    0.00    0.08    4.05    0.00    0.00    5.70    0.00    0.00   79.45
17:57:46     all   14.06    0.00    0.04    4.09    0.00    0.00    4.17    0.00    0.00   77.65
17:57:47     all   22.32    0.00    0.08    4.16    0.00    0.00    0.58    0.00    0.00   72.86
17:57:48     all   25.94    0.00    0.13    4.18    0.00    0.00    0.00    0.00    0.00   69.76
17:57:49     all   24.96    0.00    1.17    3.67    0.00    0.00    0.00    0.00    0.00   70.21
17:57:50     all   24.98    0.00    0.17    4.17    0.00    0.00    0.00    0.00    0.00   70.68
17:57:51     all   24.82    0.00    0.08    4.18    0.00    0.00    0.00    0.00    0.00   70.92
17:57:52     all   24.96    0.00    0.17    4.17    0.00    0.00    0.00    0.00    0.00   70.70
17:57:53     all   24.45    0.00    0.21    4.17    0.00    0.00    0.00    0.00    0.00   71.17
17:57:54     all   24.65    0.00    0.04    4.17    0.00    0.00    0.00    0.00    0.00   71.14
17:57:55     all   24.47    0.00    0.08    4.18    0.00    0.00    0.00    0.00    0.00   71.27
17:57:56     all   24.64    0.00    0.13    4.18    0.00    0.00    0.00    0.00    0.00   71.05
17:57:57     all   24.82    0.00    0.04    4.16    0.00    0.00    0.00    0.00    0.00   70.97
17:57:58     all   25.03    0.00    0.04    4.17    0.00    0.00    0.00    0.00    0.00   70.76
17:57:59     all   22.40    0.00    0.12    4.19    0.00    0.00    0.08    0.00    0.00   73.21
17:58:00     all    8.64    0.00    0.20    3.98    0.00    0.00    8.79    0.00    0.00   78.39
17:58:01     all   13.53    0.00    0.12    4.06    0.00    0.00    4.87    0.00    0.00   77.42
17:58:02     all   16.32    0.00    0.21    4.10    0.00    0.00    2.91    0.00    0.00   76.46
17:58:03     all   23.65    0.00    0.17    4.14    0.00    0.00    0.62    0.00    0.00   71.42
17:58:04     all   22.22    0.00    0.08    4.18    0.00    0.00    0.00    0.00    0.00   73.51
17:58:05     all   21.82    0.00    0.13    4.14    0.00    0.00    0.04    0.00    0.00   73.87
17:58:06     all   25.12    0.00    0.08    4.20    0.00    0.00    0.00    0.00    0.00   70.59
17:58:07     all   26.04    0.00    0.25    4.12    0.00    0.00    0.00    0.00    0.00   69.58
17:58:08     all   25.88    0.00    0.08    1.76    0.00    0.00    0.00    0.00    0.00   72.28
17:58:09     all   26.59    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   73.24
17:58:10     all   26.22    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   73.74
17:58:11     all   24.35    0.00    0.08    4.18    0.00    0.00    0.00    0.00    0.00   71.39
17:58:12     all   24.58    0.00    0.12    1.62    0.00    0.04    0.00    0.00    0.00   73.62
17:58:13     all   24.25    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   75.67
17:58:14     all   24.15    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   75.76
