NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[73][HASHGEN]: 24.99% completed, ETA 221.8 seconds, 33/512 flushes, 1.8 MB/sec
[74][HASHGEN]: 25.00% completed, ETA 224.9 seconds, 43/512 flushes, 1.4 MB/sec
[76][HASHGEN]: 25.00% completed, ETA 230.8 seconds, 53/512 flushes, 0.5 MB/sec
[78][HASHGEN]: 25.00% completed, ETA 234.9 seconds, 64/512 flushes, 0.7 MB/sec
[79][HASHGEN]: 25.00% completed, ETA 238.4 seconds, 71/512 flushes, 0.9 MB/sec
[81][HASHGEN]: 25.00% completed, ETA 245.1 seconds, 80/512 flushes, 0.4 MB/sec
[84][HASHGEN]: 25.00% completed, ETA 252.8 seconds, 85/512 flushes, 0.2 MB/sec
[97][HASHGEN]: 25.00% completed, ETA 293.3 seconds, 90/512 flushes, 0.0 MB/sec
[99][HASHGEN]: 25.00% completed, ETA 297.6 seconds, 98/512 flushes, 0.3 MB/sec
[100][HASHGEN]: 25.01% completed, ETA 301.2 seconds, 109/512 flushes, 0.8 MB/sec
[102][HASHGEN]: 25.01% completed, ETA 307.4 seconds, 117/512 flushes, 1.4 MB/sec
[113][HASHGEN]: 25.01% completed, ETA 341.7 seconds, 119/512 flushes, 0.0 MB/sec
[115][HASHGEN]: 25.01% completed, ETA 346.0 seconds, 124/512 flushes, 1.4 MB/sec
[116][HASHGEN]: 25.24% completed, ETA 344.8 seconds, 128/512 flushes, 149.8 MB/sec
[117][HASHGEN]: 25.74% completed, ETA 338.8 seconds, 128/512 flushes, 324.5 MB/sec
[118][HASHGEN]: 26.05% completed, ETA 336.2 seconds, 128/512 flushes, 202.9 MB/sec
[119][HASHGEN]: 26.63% completed, ETA 329.1 seconds, 128/512 flushes, 376.2 MB/sec
[120][HASHGEN]: 27.13% completed, ETA 323.5 seconds, 128/512 flushes, 328.4 MB/sec
[121][HASHGEN]: 27.61% completed, ETA 318.4 seconds, 128/512 flushes, 317.3 MB/sec
[122][HASHGEN]: 28.07% completed, ETA 313.8 seconds, 128/512 flushes, 297.2 MB/sec
[123][HASHGEN]: 28.53% completed, ETA 309.2 seconds, 128/512 flushes, 306.8 MB/sec
[124][HASHGEN]: 28.99% completed, ETA 304.8 seconds, 128/512 flushes, 298.9 MB/sec
[125][HASHGEN]: 29.44% completed, ETA 300.7 seconds, 128/512 flushes, 294.3 MB/sec
[126][HASHGEN]: 29.89% completed, ETA 296.6 seconds, 128/512 flushes, 294.0 MB/sec
[127][HASHGEN]: 30.34% completed, ETA 292.6 seconds, 128/512 flushes, 295.8 MB/sec
[128][HASHGEN]: 30.82% completed, ETA 288.3 seconds, 128/512 flushes, 314.6 MB/sec
[129][HASHGEN]: 31.30% completed, ETA 284.1 seconds, 128/512 flushes, 316.1 MB/sec
